request_num, curr_time,time_total, time_namelookup, time_connect, time_appconnect, time_pretransfer, time_redirect, time_starttransfer, http_code
1,0,2.099, 0.000, 1.030, 0.000, 1.030, 0.000, 2.099, 200 
2,2,0.021, 0.000, 0.000, 0.000, 0.000, 0.000, 0.021, 200 
3,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
4,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
5,2,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
6,2,0.029, 0.000, 0.000, 0.000, 0.000, 0.000, 0.029, 200 
7,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
8,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
9,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
10,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
11,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
12,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
13,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
14,2,0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, 200 
15,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
16,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
17,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
18,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
19,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
20,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
21,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
22,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
23,2,0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, 200 
24,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
25,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
26,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
27,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
28,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
29,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
30,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
31,2,0.013, 0.000, 0.000, 0.000, 0.000, 0.000, 0.013, 200 
32,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
33,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
34,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
35,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
36,2,0.032, 0.000, 0.000, 0.000, 0.000, 0.000, 0.032, 200 
37,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
38,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
39,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
40,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
41,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
42,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
43,2,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
44,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
45,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
46,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
47,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
48,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
49,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
50,2,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
51,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
52,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
53,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
54,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
55,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
56,3,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
57,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
58,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
59,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
60,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
61,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
62,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
63,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
64,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
65,3,0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, 200 
66,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
67,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
68,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
69,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
70,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
71,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
72,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
73,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
74,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
75,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
76,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
77,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
78,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
79,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
80,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
81,3,0.033, 0.000, 0.000, 0.000, 0.000, 0.000, 0.033, 200 
82,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
83,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
84,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
85,3,0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 200 
