request_num, curr_time,time_total, time_namelookup, time_connect, time_appconnect, time_pretransfer, time_redirect, time_starttransfer, http_code
1,0,2.074, 0.000, 1.004, 0.000, 1.005, 0.000, 2.074, 200 
2,2,0.022, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, 200 
3,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
4,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
5,2,0.017, 0.000, 0.000, 0.000, 0.000, 0.000, 0.017, 200 
6,2,0.073, 0.000, 0.000, 0.000, 0.000, 0.000, 0.073, 200 
7,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
8,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
9,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
10,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
11,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
12,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
13,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
14,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
15,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
16,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
17,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
18,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
19,2,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
20,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
21,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
22,2,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
23,2,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
24,2,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
25,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
26,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
27,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
28,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
29,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
30,3,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
31,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
32,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
33,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
34,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
35,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
36,3,0.032, 0.000, 0.000, 0.000, 0.000, 0.000, 0.032, 200 
37,3,0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, 200 
38,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
39,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
40,3,0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 200 
41,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
42,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
43,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
44,3,0.006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 200 
45,3,0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.008, 200 
46,3,0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 200 
47,3,0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.009, 200 
